Date Tested,Keyword,Translation,# of Components,Language
2017-01-03,习近平+反腐运动+权力斗争,Xi Jinping + Anti-graft Campaign + Power Struggle,3,simplified Chinese
2017-01-03,習近平+反腐運動+權力鬥爭,Xi Jinping + Anti-graft Campaign + Power Struggle,3,traditional Chinese
2017-01-03,党内+权力斗争+薄熙来,Intra-party + Power Struggle + Bo Xilai,3,simplified Chinese
2017-01-03,人权活动+公民社会+习近平,Human Rights Activities + Civil Society + Xi jinping,3,simplified Chinese
2017-01-03,stick+Jinping+freedom,,3,English
2017-01-03,发动政变+周永康,Launch Coup + Zhou Yongkang,2,simplified Chinese
2017-01-03,达赖喇嘛+1月3日+金刚灌顶法会,Dalai Lama + January 3 + Kalachakra Initiation,3,simplified Chinese
2017-01-03,達賴喇嘛+1月3日+金剛灌頂法會,Dalai Lama + January 3 + Kalachakra Initiation,3,traditional Chinese
2017-01-03,Kalachakra+Dalai+Lama+Tibetan,,4,English
2017-01-03,གོང་ས་༸+མཆོག,,2,Tibetan
2017-01-04,གོང་ས་+མཆོག,,2,Tibetan
2017-01-04,གོང་ས་མཆོག,,1,Tibetan
2017-01-04,新闻自由公敌+习近平+再度上榜,Enemy of Freedom of Press + Xi Jinping + On the List Again,3,simplified Chinese
2017-01-04,遭当局频繁禁言+网络封锁+中共对公共舆论,Frequently Banned From Speaking Out by Authorities + Internet Blackout + CCP against Public Opinion,3,simplified Chinese
2017-01-04,达赖喇嘛+菩提伽耶+金刚灌顶法会,Dalai Lama +  Bodh Gaya +  Kalachakra Initiation,3,simplified Chinese
2017-01-04,達賴喇嘛+菩提伽耶+金剛灌頂法會,Dalai Lama +  Bodh Gaya +  Kalachakra Initiation,3,traditional Chinese
2017-01-04,बोधगया,Bodh Gaya ,1,Hindi
2017-01-04,बो,Bo,1,Hindi
2017-01-04,या,ya,1,Hindi
2017-01-04,丰台+公开信+清华校友,Fengtai + Open Letter + Tsinghua Alumni,3,simplified Chinese
2017-01-04,雷洋案+央视的错+一个政权的错误,Lei Yang Case + CCTV's Misconduct + A Regime's Misconduct,3,simplified Chinese
2017-01-04,雷洋案+央視的錯+一個政權的錯誤,Lei Yang Case + CCTV's Misconduct + A Regime's Misconduct,3,traditional Chinese
2017-01-04,共产党垮台,CCP's downfall,1,simplified Chinese
2017-01-04,声援西藏,Campaign for Tibet,1,simplified Chinese
2017-01-04,聲援西藏,Campaign for Tibet,1,traditional Chinese
2017-01-04,家族垄断国家+倒行逆施+投鼠忌器+中共政权,Family's Monopoly on State + Reactionary Policies + Hold back from taking action against an evil doer + CCP Regime ,4,simplified Chinese
2017-01-04,家族壟斷國家+倒行逆施+投鼠忌器+中共政權,Family's Monopoly on State + Reactionary Policies + Hold back from taking action against an evil doer + CCP Regime ,4,traditional Chinese
2017-01-05,举国体制+打造习近平+中国足球梦,Whole Nation System + Build Xi Jinping + China's Football Dream,3,simplified Chinese
2017-01-05,舉國體制+打造習近平+中國足球夢,Whole Nation System + Build Xi Jinping + China's Football Dream,3,traditional Chinese
2017-01-05,中国当局+温家宝的家族+屏蔽时报网站,Chinese Authorities + Wen Jiabao's family + Block NYT Website,3,simplified Chinese
2017-01-05,中國當局+溫家寶的家族+屏蔽時報網站,Chinese Authorities + Wen Jiabao's family + Block NYT Website,3,traditional Chinese
2017-01-05,纽约时报+温家宝家族财富,New York Times + Wen Jiabao family's wealth,2,simplified Chinese
2017-01-06,被抓+江泽民,Arrested + Jiang Zemin,2,simplified Chinese
2017-01-06,被抓+江澤民,Arrested + Jiang Zemin,2,traditional Chinese
2017-01-06,公开信联署+谢小玲发起+雷洋, ,3,simplified Chinese
2017-01-06,公開信聯署+謝小玲發起+雷洋,Open Lettle Co-signatory + Xie Xiaoling Initiated + Lei Yang,3,traditional Chinese
2017-01-06,至高无上的领袖+达赖喇嘛尊者,Supreme Leader + His Holiness Dalai Lama,2,simplified Chinese
2017-01-09,政治上失势+拥毛造势+独裁大恶,Lost Power in Politics + Endore Mao to Rally + Autocratic villain,3,simplified Chinese
2017-01-09,习近平上台+官员自杀+非正常死亡,Xi Jinping Took Office + Officials Commit Suicide + Abnormal Death,3,simplified Chinese
2017-01-09,遍地是灾+一党独裁+中国,Disaster Everywhere + One-Party Rule + China,3,simplified Chinese
2017-01-09,乌坎村民+土地维权+当局非法打压,Wukan Villiagers + Defend Land Rights + Authorities' illegal crackdown,3,simplified Chinese
